query_size,query_idx,tau,payload_size,correct
3.0,0,4.6000000000000005,1856,1
3.0,1,4.6000000000000005,2613,1
3.0,2,4.6000000000000005,2796,1
3.0,3,4.6000000000000005,2797,1
3.0,4,4.6000000000000005,3102,1
3.0,5,4.6000000000000005,2260,1
3.0,6,4.6000000000000005,3380,1
3.0,7,4.6000000000000005,2266,1
3.0,8,4.6000000000000005,73,1
3.0,9,4.6000000000000005,3181,1
3.0,10,4.6000000000000005,3216,1
3.0,11,4.6000000000000005,3048,1
3.0,12,4.6000000000000005,2113,1
3.0,13,4.6000000000000005,3535,1
3.0,14,4.6000000000000005,2341,1
3.0,15,4.6000000000000005,3096,1
3.0,16,4.6000000000000005,3150,1
3.0,17,4.6000000000000005,2561,1
3.0,18,4.6000000000000005,2530,1
3.0,19,4.6000000000000005,2866,1
3.0,20,4.6000000000000005,3219,1
3.0,21,4.6000000000000005,2705,1
3.0,22,4.6000000000000005,3456,1
3.0,23,4.6000000000000005,2505,1
3.0,24,4.6000000000000005,2747,1
3.0,25,4.6000000000000005,3021,1
3.0,26,4.6000000000000005,1094,1
3.0,27,4.6000000000000005,3041,1
3.0,28,4.6000000000000005,2873,1
3.0,29,4.6000000000000005,3537,1
3.0,30,4.6000000000000005,3410,1
3.0,31,4.6000000000000005,3013,1
3.0,32,4.6000000000000005,3562,1
3.0,33,4.6000000000000005,3375,1
3.0,34,4.6000000000000005,778,1
3.0,35,4.6000000000000005,2601,1
3.0,36,4.6000000000000005,3667,1
3.0,37,4.6000000000000005,2993,1
3.0,38,4.6000000000000005,2214,1
3.0,39,4.6000000000000005,3181,1
3.0,0,4.7,1856,1
3.0,1,4.7,2613,1
3.0,2,4.7,2796,1
3.0,3,4.7,2797,1
3.0,4,4.7,3053,1
3.0,5,4.7,2260,1
3.0,6,4.7,3380,1
3.0,7,4.7,2266,1
3.0,8,4.7,73,1
3.0,9,4.7,3181,1
3.0,10,4.7,3216,1
3.0,11,4.7,3048,1
3.0,12,4.7,2113,1
3.0,13,4.7,3499,1
3.0,14,4.7,2341,1
3.0,15,4.7,3096,1
3.0,16,4.7,3150,1
3.0,17,4.7,2561,1
3.0,18,4.7,2530,1
3.0,19,4.7,2866,1
3.0,20,4.7,3219,1
3.0,21,4.7,2705,1
3.0,22,4.7,3456,1
3.0,23,4.7,2505,1
3.0,24,4.7,2747,1
3.0,25,4.7,2980,1
3.0,26,4.7,1094,1
3.0,27,4.7,3041,1
3.0,28,4.7,2873,1
3.0,29,4.7,3537,1
3.0,30,4.7,3410,1
3.0,31,4.7,2964,1
3.0,32,4.7,3562,1
3.0,33,4.7,3375,1
3.0,34,4.7,778,1
3.0,35,4.7,2601,1
3.0,36,4.7,3635,1
3.0,37,4.7,2993,1
3.0,38,4.7,2214,1
3.0,39,4.7,3181,1
3.0,0,4.800000000000001,1804,1
3.0,1,4.800000000000001,2566,1
3.0,2,4.800000000000001,2796,1
3.0,3,4.800000000000001,2797,1
3.0,4,4.800000000000001,3053,1
3.0,5,4.800000000000001,2260,1
3.0,6,4.800000000000001,3380,1
3.0,7,4.800000000000001,2266,1
3.0,8,4.800000000000001,73,1
3.0,9,4.800000000000001,3181,1
3.0,10,4.800000000000001,3142,1
3.0,11,4.800000000000001,3048,1
3.0,12,4.800000000000001,2113,1
3.0,13,4.800000000000001,3499,1
3.0,14,4.800000000000001,2341,1
3.0,15,4.800000000000001,3096,1
3.0,16,4.800000000000001,3150,1
3.0,17,4.800000000000001,2561,1
3.0,18,4.800000000000001,2530,1
3.0,19,4.800000000000001,2866,1
3.0,20,4.800000000000001,3219,1
3.0,21,4.800000000000001,2705,1
3.0,22,4.800000000000001,3456,1
3.0,23,4.800000000000001,2458,1
3.0,24,4.800000000000001,2712,1
3.0,25,4.800000000000001,2980,1
3.0,26,4.800000000000001,1094,1
3.0,27,4.800000000000001,3041,1
3.0,28,4.800000000000001,2873,1
3.0,29,4.800000000000001,3537,1
3.0,30,4.800000000000001,3410,1
3.0,31,4.800000000000001,2964,1
3.0,32,4.800000000000001,3527,1
3.0,33,4.800000000000001,3375,1
3.0,34,4.800000000000001,778,1
3.0,35,4.800000000000001,2601,1
3.0,36,4.800000000000001,3635,1
3.0,37,4.800000000000001,2993,1
3.0,38,4.800000000000001,2214,1
3.0,39,4.800000000000001,3181,1
3.0,0,4.9,1760,1
3.0,1,4.9,2566,1
3.0,2,4.9,2796,1
3.0,3,4.9,2678,1
3.0,4,4.9,3053,1
3.0,5,4.9,2260,1
3.0,6,4.9,3380,1
3.0,7,4.9,2266,1
3.0,8,4.9,73,1
3.0,9,4.9,3104,1
3.0,10,4.9,3142,1
3.0,11,4.9,3048,1
3.0,12,4.9,2113,1
3.0,13,4.9,3499,1
3.0,14,4.9,2341,1
3.0,15,4.9,3096,1
3.0,16,4.9,3150,1
3.0,17,4.9,2561,1
3.0,18,4.9,2530,1
3.0,19,4.9,2866,1
3.0,20,4.9,3219,1
3.0,21,4.9,2656,1
3.0,22,4.9,3456,1
3.0,23,4.9,2458,1
3.0,24,4.9,2712,1
3.0,25,4.9,2951,1
3.0,26,4.9,1094,1
3.0,27,4.9,3041,1
3.0,28,4.9,2873,1
3.0,29,4.9,3537,1
3.0,30,4.9,3410,1
3.0,31,4.9,2924,1
3.0,32,4.9,3527,1
3.0,33,4.9,3375,1
3.0,34,4.9,778,1
3.0,35,4.9,2601,1
3.0,36,4.9,3564,1
3.0,37,4.9,2993,1
3.0,38,4.9,2214,1
3.0,39,4.9,3181,1
3.0,0,5.0,1760,1
3.0,1,5.0,2566,1
3.0,2,5.0,2796,1
3.0,3,5.0,2678,1
3.0,4,5.0,3053,1
3.0,5,5.0,2260,1
3.0,6,5.0,3380,1
3.0,7,5.0,2266,1
3.0,8,5.0,73,1
3.0,9,5.0,3053,1
3.0,10,5.0,3108,1
3.0,11,5.0,3048,1
3.0,12,5.0,2113,1
3.0,13,5.0,3499,1
3.0,14,5.0,2341,1
3.0,15,5.0,3062,1
3.0,16,5.0,3150,1
3.0,17,5.0,2525,1
3.0,18,5.0,2530,1
3.0,19,5.0,2830,1
3.0,20,5.0,3219,1
3.0,21,5.0,2656,1
3.0,22,5.0,3419,1
3.0,23,5.0,2458,1
3.0,24,5.0,2672,1
3.0,25,5.0,2884,1
3.0,26,5.0,1094,1
3.0,27,5.0,3041,1
3.0,28,5.0,2805,1
3.0,29,5.0,3537,1
3.0,30,5.0,3410,1
3.0,31,5.0,2854,1
3.0,32,5.0,3497,1
3.0,33,5.0,3375,1
3.0,34,5.0,778,1
3.0,35,5.0,2567,1
3.0,36,5.0,3533,1
3.0,37,5.0,2916,1
3.0,38,5.0,2214,1
3.0,39,5.0,3181,1
3.0,0,5.1000000000000005,1760,1
3.0,1,5.1000000000000005,2566,1
3.0,2,5.1000000000000005,2761,1
3.0,3,5.1000000000000005,2678,1
3.0,4,5.1000000000000005,3053,1
3.0,5,5.1000000000000005,2260,1
3.0,6,5.1000000000000005,3325,1
3.0,7,5.1000000000000005,2266,1
3.0,8,5.1000000000000005,73,1
3.0,9,5.1000000000000005,2956,1
3.0,10,5.1000000000000005,3075,1
3.0,11,5.1000000000000005,3048,1
3.0,12,5.1000000000000005,2113,1
3.0,13,5.1000000000000005,3472,1
3.0,14,5.1000000000000005,2341,1
3.0,15,5.1000000000000005,3062,1
3.0,16,5.1000000000000005,3122,1
3.0,17,5.1000000000000005,2487,1
3.0,18,5.1000000000000005,2530,1
3.0,19,5.1000000000000005,2830,1
3.0,20,5.1000000000000005,3219,1
3.0,21,5.1000000000000005,2656,1
3.0,22,5.1000000000000005,3362,1
3.0,23,5.1000000000000005,2399,1
3.0,24,5.1000000000000005,2638,1
3.0,25,5.1000000000000005,2825,1
3.0,26,5.1000000000000005,1094,1
3.0,27,5.1000000000000005,3041,1
3.0,28,5.1000000000000005,2773,1
3.0,29,5.1000000000000005,3537,1
3.0,30,5.1000000000000005,3410,1
3.0,31,5.1000000000000005,2854,1
3.0,32,5.1000000000000005,3471,1
3.0,33,5.1000000000000005,3375,1
3.0,34,5.1000000000000005,778,1
3.0,35,5.1000000000000005,2534,1
3.0,36,5.1000000000000005,3533,1
3.0,37,5.1000000000000005,2818,1
3.0,38,5.1000000000000005,2214,1
3.0,39,5.1000000000000005,3151,1
3.0,0,5.2,1760,1
3.0,1,5.2,2566,1
3.0,2,5.2,2635,1
3.0,3,5.2,2565,1
3.0,4,5.2,3029,1
3.0,5,5.2,2229,1
3.0,6,5.2,3298,1
3.0,7,5.2,2266,1
3.0,8,5.2,32,1
3.0,9,5.2,2930,1
3.0,10,5.2,3075,1
3.0,11,5.2,2937,1
3.0,12,5.2,2054,1
3.0,13,5.2,3271,1
3.0,14,5.2,2271,1
3.0,15,5.2,2940,1
3.0,16,5.2,3099,1
3.0,17,5.2,2429,1
3.0,18,5.2,2530,1
3.0,19,5.2,2807,1
3.0,20,5.2,3117,1
3.0,21,5.2,2599,1
3.0,22,5.2,3319,1
3.0,23,5.2,2366,1
3.0,24,5.2,2609,1
3.0,25,5.2,2738,1
3.0,26,5.2,1055,1
3.0,27,5.2,2934,1
3.0,28,5.2,2747,1
3.0,29,5.2,3488,1
3.0,30,5.2,3311,1
3.0,31,5.2,2778,1
3.0,32,5.2,3416,1
3.0,33,5.2,3354,1
3.0,34,5.2,778,1
3.0,35,5.2,2507,1
3.0,36,5.2,3485,1
3.0,37,5.2,2789,1
3.0,38,5.2,2214,1
3.0,39,5.2,3124,1
3.0,0,5.300000000000001,1709,1
3.0,1,5.300000000000001,2514,1
3.0,2,5.300000000000001,2590,1
3.0,3,5.300000000000001,2482,1
3.0,4,5.300000000000001,2926,1
3.0,5,5.300000000000001,2108,1
3.0,6,5.300000000000001,3192,1
3.0,7,5.300000000000001,2203,1
3.0,8,5.300000000000001,32,1
3.0,9,5.300000000000001,2864,1
3.0,10,5.300000000000001,2944,1
3.0,11,5.300000000000001,2764,1
3.0,12,5.300000000000001,2054,1
3.0,13,5.300000000000001,3222,1
3.0,14,5.300000000000001,2209,1
3.0,15,5.300000000000001,2716,1
3.0,16,5.300000000000001,3052,1
3.0,17,5.300000000000001,2403,1
3.0,18,5.300000000000001,2426,1
3.0,19,5.300000000000001,2678,1
