methd,query_idx,size,tau,payload_size,correct
COS,0,3,0.0,1856,1
WNG,0,3,0.0,1856,1
CNT,0,3,0.0,1856,1
WNG+COS,0,3,0.0,1856,1
COS,0,6,0.0,5940,1
WNG,0,6,0.0,5940,1
CNT,0,6,0.0,5940,1
WNG+COS,0,6,0.0,5940,1
COS,0,9,0.0,6904,1
WNG,0,9,0.0,6904,1
CNT,0,9,0.0,6904,1
WNG+COS,0,9,0.0,6904,1
COS,1,3,0.0,5708,1
WNG,1,3,0.0,5708,1
CNT,1,3,0.0,5708,1
WNG+COS,1,3,0.0,5708,1
COS,1,6,0.0,7466,1
WNG,1,6,0.0,7466,1
CNT,1,6,0.0,7466,1
WNG+COS,1,6,0.0,7466,1
COS,1,9,0.0,7704,1
WNG,1,9,0.0,7704,1
CNT,1,9,0.0,7704,1
WNG+COS,1,9,0.0,7704,1
COS,2,3,0.0,6519,1
WNG,2,3,0.0,6519,1
CNT,2,3,0.0,6519,1
WNG+COS,2,3,0.0,6519,1
COS,2,6,0.0,7352,1
WNG,2,6,0.0,7352,1
CNT,2,6,0.0,7352,1
WNG+COS,2,6,0.0,7352,1
COS,2,9,0.0,7731,1
WNG,2,9,0.0,7731,1
CNT,2,9,0.0,7731,1
WNG+COS,2,9,0.0,7731,1
COS,3,3,0.0,5224,1
WNG,3,3,0.0,5224,1
CNT,3,3,0.0,5224,1
WNG+COS,3,3,0.0,5224,1
COS,3,6,0.0,6511,1
WNG,3,6,0.0,6511,1
CNT,3,6,0.0,6511,1
WNG+COS,3,6,0.0,6511,1
COS,3,9,0.0,7496,1
WNG,3,9,0.0,7496,1
CNT,3,9,0.0,7496,1
WNG+COS,3,9,0.0,7496,1
COS,4,3,0.0,7310,1
WNG,4,3,0.0,7310,1
CNT,4,3,0.0,7310,1
WNG+COS,4,3,0.0,7310,1
COS,4,6,0.0,7684,1
WNG,4,6,0.0,7684,1
CNT,4,6,0.0,7684,1
WNG+COS,4,6,0.0,7684,1
COS,4,9,0.0,7870,1
WNG,4,9,0.0,7870,1
CNT,4,9,0.0,7870,1
WNG+COS,4,9,0.0,7870,1
COS,5,3,0.0,4310,1
WNG,5,3,0.0,4310,1
CNT,5,3,0.0,4310,1
WNG+COS,5,3,0.0,4310,1
COS,5,6,0.0,3957,1
WNG,5,6,0.0,3957,1
CNT,5,6,0.0,3957,1
WNG+COS,5,6,0.0,3957,1
COS,5,9,0.0,7504,1
WNG,5,9,0.0,7504,1
CNT,5,9,0.0,7504,1
WNG+COS,5,9,0.0,7504,1
COS,6,3,0.0,4982,1
WNG,6,3,0.0,4982,1
CNT,6,3,0.0,4982,1
WNG+COS,6,3,0.0,4982,1
COS,6,6,0.0,7360,1
WNG,6,6,0.0,7360,1
CNT,6,6,0.0,7360,1
WNG+COS,6,6,0.0,7360,1
COS,6,9,0.0,7433,1
WNG,6,9,0.0,7433,1
CNT,6,9,0.0,7433,1
WNG+COS,6,9,0.0,7433,1
COS,7,3,0.0,5121,1
WNG,7,3,0.0,5121,1
CNT,7,3,0.0,5121,1
WNG+COS,7,3,0.0,5121,1
COS,7,6,0.0,3008,1
WNG,7,6,0.0,3008,1
CNT,7,6,0.0,3008,1
WNG+COS,7,6,0.0,3008,1
COS,7,9,0.0,7551,1
WNG,7,9,0.0,7551,1
CNT,7,9,0.0,7551,1
WNG+COS,7,9,0.0,7551,1
COS,8,3,0.0,73,1
WNG,8,3,0.0,73,1
CNT,8,3,0.0,73,1
WNG+COS,8,3,0.0,73,1
COS,8,6,0.0,7579,1
WNG,8,6,0.0,7579,1
CNT,8,6,0.0,7579,1
WNG+COS,8,6,0.0,7579,1
COS,8,9,0.0,7783,1
WNG,8,9,0.0,7783,1
CNT,8,9,0.0,7783,1
WNG+COS,8,9,0.0,7783,1
COS,9,3,0.0,3399,1
WNG,9,3,0.0,3399,1
CNT,9,3,0.0,3399,1
WNG+COS,9,3,0.0,3399,1
COS,9,6,0.0,7632,1
WNG,9,6,0.0,7632,1
CNT,9,6,0.0,7632,1
WNG+COS,9,6,0.0,7632,1
COS,9,9,0.0,7898,1
WNG,9,9,0.0,7898,1
CNT,9,9,0.0,7898,1
WNG+COS,9,9,0.0,7898,1
COS,10,3,0.0,5625,1
WNG,10,3,0.0,5625,1
CNT,10,3,0.0,5625,1
WNG+COS,10,3,0.0,5625,1
COS,10,6,0.0,962,1
WNG,10,6,0.0,962,1
CNT,10,6,0.0,962,1
WNG+COS,10,6,0.0,962,1
COS,10,9,0.0,7624,1
WNG,10,9,0.0,7624,1
CNT,10,9,0.0,7624,1
WNG+COS,10,9,0.0,7624,1
COS,11,3,0.0,6706,1
WNG,11,3,0.0,6706,1
CNT,11,3,0.0,6706,1
WNG+COS,11,3,0.0,6706,1
COS,11,6,0.0,6371,1
WNG,11,6,0.0,6371,1
CNT,11,6,0.0,6371,1
WNG+COS,11,6,0.0,6371,1
COS,11,9,0.0,7468,1
WNG,11,9,0.0,7468,1
CNT,11,9,0.0,7468,1
WNG+COS,11,9,0.0,7468,1
COS,12,3,0.0,2113,1
WNG,12,3,0.0,2113,1
CNT,12,3,0.0,2113,1
WNG+COS,12,3,0.0,2113,1
COS,12,6,0.0,5286,1
WNG,12,6,0.0,5286,1
CNT,12,6,0.0,5286,1
WNG+COS,12,6,0.0,5286,1
COS,12,9,0.0,4250,1
WNG,12,9,0.0,4250,1
CNT,12,9,0.0,4250,1
WNG+COS,12,9,0.0,4250,1
COS,13,3,0.0,5223,1
WNG,13,3,0.0,5223,1
CNT,13,3,0.0,5223,1
WNG+COS,13,3,0.0,5223,1
COS,13,6,0.0,6971,1
WNG,13,6,0.0,6971,1
CNT,13,6,0.0,6971,1
WNG+COS,13,6,0.0,6971,1
COS,13,9,0.0,7779,1
WNG,13,9,0.0,7779,1
CNT,13,9,0.0,7779,1
WNG+COS,13,9,0.0,7779,1
COS,14,3,0.0,5523,1
WNG,14,3,0.0,5523,1
CNT,14,3,0.0,5523,1
WNG+COS,14,3,0.0,5523,1
COS,14,6,0.0,7563,1
WNG,14,6,0.0,7563,1
CNT,14,6,0.0,7563,1
WNG+COS,14,6,0.0,7563,1
COS,14,9,0.0,7518,1
WNG,14,9,0.0,7518,1
CNT,14,9,0.0,7518,1
WNG+COS,14,9,0.0,7518,1
COS,15,3,0.0,4274,1
