query_size,query_idx,tau,payload_size,correct
6.0,0,0.0,935,1
6.0,1,0.0,886,1
6.0,2,0.0,926,1
6.0,3,0.0,902,1
6.0,4,0.0,766,1
6.0,5,0.0,882,1
6.0,6,0.0,776,1
6.0,7,0.0,923,1
6.0,8,0.0,923,1
6.0,9,0.0,874,1
6.0,10,0.0,935,1
6.0,11,0.0,896,1
6.0,12,0.0,811,1
6.0,13,0.0,942,1
6.0,14,0.0,674,1
6.0,15,0.0,925,1
6.0,16,0.0,925,1
6.0,17,0.0,854,1
6.0,18,0.0,524,1
6.0,19,0.0,918,1
6.0,20,0.0,925,1
6.0,21,0.0,91,1
6.0,22,0.0,919,1
6.0,23,0.0,873,1
6.0,24,0.0,616,1
6.0,25,0.0,163,1
6.0,26,0.0,889,1
6.0,27,0.0,942,1
6.0,28,0.0,928,1
6.0,29,0.0,940,1
6.0,30,0.0,747,1
6.0,31,0.0,606,1
6.0,32,0.0,804,1
6.0,33,0.0,635,1
6.0,34,0.0,841,1
6.0,35,0.0,894,1
6.0,36,0.0,926,1
6.0,37,0.0,176,1
6.0,38,0.0,842,1
6.0,39,0.0,917,1
6.0,0,0.1,935,1
6.0,1,0.1,886,1
6.0,2,0.1,926,1
6.0,3,0.1,902,1
6.0,4,0.1,766,1
6.0,5,0.1,882,1
6.0,6,0.1,776,1
6.0,7,0.1,923,1
6.0,8,0.1,923,1
6.0,9,0.1,874,1
6.0,10,0.1,935,1
6.0,11,0.1,896,1
6.0,12,0.1,811,1
6.0,13,0.1,942,1
6.0,14,0.1,674,1
6.0,15,0.1,925,1
6.0,16,0.1,925,1
6.0,17,0.1,854,1
6.0,18,0.1,524,1
6.0,19,0.1,918,1
6.0,20,0.1,925,1
6.0,21,0.1,91,1
6.0,22,0.1,919,1
6.0,23,0.1,873,1
6.0,24,0.1,616,1
6.0,25,0.1,163,1
6.0,26,0.1,889,1
6.0,27,0.1,942,1
6.0,28,0.1,928,1
6.0,29,0.1,940,1
6.0,30,0.1,747,1
6.0,31,0.1,606,1
6.0,32,0.1,804,1
6.0,33,0.1,635,1
6.0,34,0.1,841,1
6.0,35,0.1,894,1
6.0,36,0.1,926,1
6.0,37,0.1,176,1
6.0,38,0.1,842,1
6.0,39,0.1,917,1
6.0,0,0.2,935,1
6.0,1,0.2,886,1
6.0,2,0.2,926,1
6.0,3,0.2,902,1
6.0,4,0.2,766,1
6.0,5,0.2,882,1
6.0,6,0.2,776,1
6.0,7,0.2,923,1
6.0,8,0.2,923,1
6.0,9,0.2,874,1
6.0,10,0.2,935,1
6.0,11,0.2,896,1
6.0,12,0.2,811,1
6.0,13,0.2,942,1
6.0,14,0.2,674,1
6.0,15,0.2,925,1
6.0,16,0.2,925,1
6.0,17,0.2,854,1
6.0,18,0.2,524,1
6.0,19,0.2,918,1
6.0,20,0.2,925,1
6.0,21,0.2,91,1
6.0,22,0.2,919,1
6.0,23,0.2,873,1
6.0,24,0.2,616,1
6.0,25,0.2,163,1
6.0,26,0.2,889,1
6.0,27,0.2,942,1
6.0,28,0.2,928,1
6.0,29,0.2,940,1
6.0,30,0.2,747,1
6.0,31,0.2,606,1
6.0,32,0.2,804,1
6.0,33,0.2,635,1
6.0,34,0.2,841,1
6.0,35,0.2,894,1
6.0,36,0.2,926,1
6.0,37,0.2,176,1
6.0,38,0.2,842,1
6.0,39,0.2,917,1
6.0,0,0.30000000000000004,935,1
6.0,1,0.30000000000000004,886,1
6.0,2,0.30000000000000004,926,1
6.0,3,0.30000000000000004,902,1
6.0,4,0.30000000000000004,766,1
6.0,5,0.30000000000000004,882,1
6.0,6,0.30000000000000004,776,1
6.0,7,0.30000000000000004,923,1
6.0,8,0.30000000000000004,923,1
6.0,9,0.30000000000000004,874,1
6.0,10,0.30000000000000004,935,1
6.0,11,0.30000000000000004,896,1
6.0,12,0.30000000000000004,811,1
6.0,13,0.30000000000000004,942,1
6.0,14,0.30000000000000004,674,1
6.0,15,0.30000000000000004,925,1
6.0,16,0.30000000000000004,925,1
6.0,17,0.30000000000000004,854,1
6.0,18,0.30000000000000004,524,1
6.0,19,0.30000000000000004,918,1
6.0,20,0.30000000000000004,925,1
6.0,21,0.30000000000000004,91,1
6.0,22,0.30000000000000004,919,1
6.0,23,0.30000000000000004,873,1
6.0,24,0.30000000000000004,616,1
6.0,25,0.30000000000000004,163,1
6.0,26,0.30000000000000004,889,1
6.0,27,0.30000000000000004,942,1
6.0,28,0.30000000000000004,928,1
6.0,29,0.30000000000000004,940,1
6.0,30,0.30000000000000004,747,1
6.0,31,0.30000000000000004,606,1
6.0,32,0.30000000000000004,804,1
6.0,33,0.30000000000000004,635,1
6.0,34,0.30000000000000004,841,1
6.0,35,0.30000000000000004,894,1
6.0,36,0.30000000000000004,926,1
6.0,37,0.30000000000000004,176,1
6.0,38,0.30000000000000004,842,1
6.0,39,0.30000000000000004,917,1
6.0,0,0.4,935,1
6.0,1,0.4,886,1
6.0,2,0.4,926,1
6.0,3,0.4,902,1
6.0,4,0.4,766,1
6.0,5,0.4,882,1
6.0,6,0.4,776,1
6.0,7,0.4,923,1
6.0,8,0.4,923,1
6.0,9,0.4,874,1
6.0,10,0.4,935,1
6.0,11,0.4,896,1
6.0,12,0.4,811,1
6.0,13,0.4,942,1
6.0,14,0.4,674,1
6.0,15,0.4,925,1
6.0,16,0.4,925,1
6.0,17,0.4,854,1
6.0,18,0.4,524,1
6.0,19,0.4,918,1
6.0,20,0.4,925,1
6.0,21,0.4,91,1
6.0,22,0.4,919,1
6.0,23,0.4,873,1
6.0,24,0.4,616,1
6.0,25,0.4,163,1
6.0,26,0.4,889,1
6.0,27,0.4,942,1
6.0,28,0.4,928,1
6.0,29,0.4,940,1
6.0,30,0.4,747,1
6.0,31,0.4,606,1
6.0,32,0.4,804,1
6.0,33,0.4,635,1
6.0,34,0.4,841,1
6.0,35,0.4,894,1
6.0,36,0.4,926,1
6.0,37,0.4,176,1
6.0,38,0.4,842,1
6.0,39,0.4,917,1
6.0,0,0.5,935,1
6.0,1,0.5,886,1
6.0,2,0.5,926,1
6.0,3,0.5,902,1
6.0,4,0.5,766,1
6.0,5,0.5,882,1
6.0,6,0.5,776,1
6.0,7,0.5,923,1
6.0,8,0.5,923,1
6.0,9,0.5,874,1
6.0,10,0.5,935,1
6.0,11,0.5,896,1
6.0,12,0.5,811,1
6.0,13,0.5,942,1
6.0,14,0.5,674,1
6.0,15,0.5,925,1
6.0,16,0.5,925,1
6.0,17,0.5,854,1
6.0,18,0.5,524,1
6.0,19,0.5,918,1
6.0,20,0.5,925,1
6.0,21,0.5,91,1
6.0,22,0.5,919,1
6.0,23,0.5,873,1
6.0,24,0.5,616,1
6.0,25,0.5,163,1
6.0,26,0.5,889,1
6.0,27,0.5,942,1
6.0,28,0.5,928,1
6.0,29,0.5,940,1
6.0,30,0.5,747,1
6.0,31,0.5,606,1
6.0,32,0.5,804,1
6.0,33,0.5,635,1
6.0,34,0.5,841,1
6.0,35,0.5,894,1
6.0,36,0.5,926,1
6.0,37,0.5,176,1
6.0,38,0.5,842,1
6.0,39,0.5,917,1
6.0,0,0.6000000000000001,935,1
6.0,1,0.6000000000000001,886,1
6.0,2,0.6000000000000001,926,1
6.0,3,0.6000000000000001,902,1
6.0,4,0.6000000000000001,766,1
6.0,5,0.6000000000000001,882,1
6.0,6,0.6000000000000001,776,1
6.0,7,0.6000000000000001,923,1
6.0,8,0.6000000000000001,923,1
6.0,9,0.6000000000000001,874,1
6.0,10,0.6000000000000001,935,1
6.0,11,0.6000000000000001,896,1
6.0,12,0.6000000000000001,811,1
6.0,13,0.6000000000000001,942,1
6.0,14,0.6000000000000001,674,1
6.0,15,0.6000000000000001,925,1
6.0,16,0.6000000000000001,925,1
6.0,17,0.6000000000000001,854,1
6.0,18,0.6000000000000001,524,1
6.0,19,0.6000000000000001,918,1
6.0,20,0.6000000000000001,925,1
6.0,21,0.6000000000000001,91,1
6.0,22,0.6000000000000001,919,1
6.0,23,0.6000000000000001,873,1
6.0,24,0.6000000000000001,616,1
6.0,25,0.6000000000000001,163,1
6.0,26,0.6000000000000001,889,1
6.0,27,0.6000000000000001,942,1
6.0,28,0.6000000000000001,928,1
6.0,29,0.6000000000000001,940,1
6.0,30,0.6000000000000001,747,1
6.0,31,0.6000000000000001,606,1
6.0,32,0.6000000000000001,804,1
6.0,33,0.6000000000000001,635,1
6.0,34,0.6000000000000001,841,1
6.0,35,0.6000000000000001,894,1
6.0,36,0.6000000000000001,926,1
6.0,37,0.6000000000000001,176,1
6.0,38,0.6000000000000001,842,1
6.0,39,0.6000000000000001,917,1
6.0,0,0.7000000000000001,935,1
6.0,1,0.7000000000000001,886,1
6.0,2,0.7000000000000001,926,1
6.0,3,0.7000000000000001,902,1
6.0,4,0.7000000000000001,766,1
6.0,5,0.7000000000000001,882,1
6.0,6,0.7000000000000001,776,1
6.0,7,0.7000000000000001,923,1
6.0,8,0.7000000000000001,923,1
6.0,9,0.7000000000000001,874,1
6.0,10,0.7000000000000001,935,1
6.0,11,0.7000000000000001,896,1
6.0,12,0.7000000000000001,811,1
6.0,13,0.7000000000000001,942,1
6.0,14,0.7000000000000001,674,1
6.0,15,0.7000000000000001,925,1
6.0,16,0.7000000000000001,925,1
6.0,17,0.7000000000000001,854,1
6.0,18,0.7000000000000001,524,1
6.0,19,0.7000000000000001,918,1
6.0,20,0.7000000000000001,925,1
6.0,21,0.7000000000000001,91,1
6.0,22,0.7000000000000001,919,1
6.0,23,0.7000000000000001,873,1
6.0,24,0.7000000000000001,616,1
6.0,25,0.7000000000000001,163,1
6.0,26,0.7000000000000001,889,1
6.0,27,0.7000000000000001,942,1
6.0,28,0.7000000000000001,928,1
6.0,29,0.7000000000000001,940,1
6.0,30,0.7000000000000001,747,1
6.0,31,0.7000000000000001,606,1
6.0,32,0.7000000000000001,804,1
6.0,33,0.7000000000000001,635,1
6.0,34,0.7000000000000001,841,1
6.0,35,0.7000000000000001,894,1
6.0,36,0.7000000000000001,926,1
6.0,37,0.7000000000000001,176,1
6.0,38,0.7000000000000001,842,1
6.0,39,0.7000000000000001,917,1
6.0,0,0.8,935,1
6.0,1,0.8,886,1
6.0,2,0.8,926,1
6.0,3,0.8,902,1
6.0,4,0.8,766,1
6.0,5,0.8,882,1
6.0,6,0.8,776,1
6.0,7,0.8,923,1
6.0,8,0.8,923,1
6.0,9,0.8,874,1
6.0,10,0.8,935,1
6.0,11,0.8,896,1
6.0,12,0.8,811,1
6.0,13,0.8,942,1
6.0,14,0.8,674,1
6.0,15,0.8,925,1
6.0,16,0.8,925,1
6.0,17,0.8,854,1
6.0,18,0.8,524,1
6.0,19,0.8,918,1
6.0,20,0.8,925,1
6.0,21,0.8,91,1
6.0,22,0.8,919,1
6.0,23,0.8,873,1
6.0,24,0.8,616,1
6.0,25,0.8,163,1
6.0,26,0.8,889,1
6.0,27,0.8,942,1
6.0,28,0.8,928,1
6.0,29,0.8,940,1
6.0,30,0.8,747,1
6.0,31,0.8,606,1
6.0,32,0.8,804,1
6.0,33,0.8,635,1
6.0,34,0.8,841,1
6.0,35,0.8,894,1
6.0,36,0.8,926,1
6.0,37,0.8,176,1
6.0,38,0.8,842,1
6.0,39,0.8,917,1
6.0,0,0.9,935,1
6.0,1,0.9,886,1
6.0,2,0.9,926,1
6.0,3,0.9,902,1
6.0,4,0.9,766,1
6.0,5,0.9,882,1
6.0,6,0.9,776,1
6.0,7,0.9,923,1
6.0,8,0.9,923,1
6.0,9,0.9,874,1
6.0,10,0.9,935,1
6.0,11,0.9,896,1
