methd,query_idx,size,tau,payload_size,correct
COS,0,3,0.0,760,1
WNG,0,3,0.0,760,1
CNT,0,3,0.0,760,1
WNG+COS,0,3,0.0,760,1
COS,0,6,0.0,935,1
WNG,0,6,0.0,935,1
CNT,0,6,0.0,935,1
WNG+COS,0,6,0.0,935,1
COS,0,9,0.0,945,1
WNG,0,9,0.0,945,1
CNT,0,9,0.0,945,1
WNG+COS,0,9,0.0,945,1
COS,1,3,0.0,528,1
WNG,1,3,0.0,528,1
CNT,1,3,0.0,528,1
WNG+COS,1,3,0.0,528,1
COS,1,6,0.0,886,1
WNG,1,6,0.0,886,1
CNT,1,6,0.0,886,1
WNG+COS,1,6,0.0,886,1
COS,1,9,0.0,942,1
WNG,1,9,0.0,942,1
CNT,1,9,0.0,942,1
WNG+COS,1,9,0.0,942,1
COS,2,3,0.0,898,1
WNG,2,3,0.0,898,1
CNT,2,3,0.0,898,1
WNG+COS,2,3,0.0,898,1
COS,2,6,0.0,926,1
WNG,2,6,0.0,926,1
CNT,2,6,0.0,926,1
WNG+COS,2,6,0.0,926,1
COS,2,9,0.0,952,1
WNG,2,9,0.0,952,1
CNT,2,9,0.0,952,1
WNG+COS,2,9,0.0,952,1
COS,3,3,0.0,760,1
WNG,3,3,0.0,760,1
CNT,3,3,0.0,760,1
WNG+COS,3,3,0.0,760,1
COS,3,6,0.0,902,1
WNG,3,6,0.0,902,1
CNT,3,6,0.0,902,1
WNG+COS,3,6,0.0,902,1
COS,3,9,0.0,946,1
WNG,3,9,0.0,946,1
CNT,3,9,0.0,946,1
WNG+COS,3,9,0.0,946,1
COS,4,3,0.0,757,1
WNG,4,3,0.0,757,1
CNT,4,3,0.0,757,1
WNG+COS,4,3,0.0,757,1
COS,4,6,0.0,766,1
WNG,4,6,0.0,766,1
CNT,4,6,0.0,766,1
WNG+COS,4,6,0.0,766,1
COS,4,9,0.0,862,1
WNG,4,9,0.0,862,1
CNT,4,9,0.0,862,1
WNG+COS,4,9,0.0,862,1
COS,5,3,0.0,807,1
WNG,5,3,0.0,807,1
CNT,5,3,0.0,807,0
WNG+COS,5,3,0.0,807,1
COS,5,6,0.0,882,1
WNG,5,6,0.0,882,1
CNT,5,6,0.0,882,1
WNG+COS,5,6,0.0,882,1
COS,5,9,0.0,917,1
WNG,5,9,0.0,917,1
CNT,5,9,0.0,917,1
WNG+COS,5,9,0.0,917,1
COS,6,3,0.0,333,1
WNG,6,3,0.0,333,1
CNT,6,3,0.0,333,1
WNG+COS,6,3,0.0,333,1
COS,6,6,0.0,776,1
WNG,6,6,0.0,776,1
CNT,6,6,0.0,776,1
WNG+COS,6,6,0.0,776,1
COS,6,9,0.0,934,1
WNG,6,9,0.0,934,1
CNT,6,9,0.0,934,1
WNG+COS,6,9,0.0,934,1
COS,7,3,0.0,800,1
WNG,7,3,0.0,800,1
CNT,7,3,0.0,800,1
WNG+COS,7,3,0.0,800,1
COS,7,6,0.0,923,1
WNG,7,6,0.0,923,1
CNT,7,6,0.0,923,1
WNG+COS,7,6,0.0,923,1
COS,7,9,0.0,931,1
WNG,7,9,0.0,931,1
CNT,7,9,0.0,931,1
WNG+COS,7,9,0.0,931,1
COS,8,3,0.0,862,1
WNG,8,3,0.0,862,1
CNT,8,3,0.0,862,1
WNG+COS,8,3,0.0,862,1
COS,8,6,0.0,923,1
WNG,8,6,0.0,923,1
CNT,8,6,0.0,923,1
WNG+COS,8,6,0.0,923,1
COS,8,9,0.0,950,1
WNG,8,9,0.0,950,1
CNT,8,9,0.0,950,1
WNG+COS,8,9,0.0,950,1
COS,9,3,0.0,748,1
WNG,9,3,0.0,748,1
CNT,9,3,0.0,748,1
WNG+COS,9,3,0.0,748,1
COS,9,6,0.0,874,1
WNG,9,6,0.0,874,1
CNT,9,6,0.0,874,1
WNG+COS,9,6,0.0,874,1
COS,9,9,0.0,924,1
WNG,9,9,0.0,924,1
CNT,9,9,0.0,924,1
WNG+COS,9,9,0.0,924,1
COS,10,3,0.0,859,1
WNG,10,3,0.0,859,1
CNT,10,3,0.0,859,1
WNG+COS,10,3,0.0,859,1
COS,10,6,0.0,935,1
WNG,10,6,0.0,935,1
CNT,10,6,0.0,935,1
WNG+COS,10,6,0.0,935,1
COS,10,9,0.0,950,1
WNG,10,9,0.0,950,1
CNT,10,9,0.0,950,1
WNG+COS,10,9,0.0,950,1
COS,11,3,0.0,846,1
WNG,11,3,0.0,846,1
CNT,11,3,0.0,846,1
WNG+COS,11,3,0.0,846,1
COS,11,6,0.0,896,1
WNG,11,6,0.0,896,1
CNT,11,6,0.0,896,1
WNG+COS,11,6,0.0,896,1
COS,11,9,0.0,941,1
WNG,11,9,0.0,941,1
CNT,11,9,0.0,941,1
WNG+COS,11,9,0.0,941,1
COS,12,3,0.0,647,1
WNG,12,3,0.0,647,1
CNT,12,3,0.0,647,1
WNG+COS,12,3,0.0,647,1
COS,12,6,0.0,811,1
WNG,12,6,0.0,811,1
CNT,12,6,0.0,811,1
WNG+COS,12,6,0.0,811,1
COS,12,9,0.0,873,1
WNG,12,9,0.0,873,1
CNT,12,9,0.0,873,1
WNG+COS,12,9,0.0,873,1
COS,13,3,0.0,911,1
WNG,13,3,0.0,911,1
CNT,13,3,0.0,911,1
WNG+COS,13,3,0.0,911,1
COS,13,6,0.0,942,1
WNG,13,6,0.0,942,1
CNT,13,6,0.0,942,1
WNG+COS,13,6,0.0,942,1
COS,13,9,0.0,936,1
WNG,13,9,0.0,936,1
CNT,13,9,0.0,936,1
WNG+COS,13,9,0.0,936,1
COS,14,3,0.0,731,1
WNG,14,3,0.0,731,1
CNT,14,3,0.0,731,1
WNG+COS,14,3,0.0,731,1
COS,14,6,0.0,674,1
WNG,14,6,0.0,674,1
CNT,14,6,0.0,674,1
WNG+COS,14,6,0.0,674,1
COS,14,9,0.0,863,1
WNG,14,9,0.0,863,1
CNT,14,9,0.0,863,1
WNG+COS,14,9,0.0,863,1
COS,15,3,0.0,742,1
WNG,15,3,0.0,742,1
CNT,15,3,0.0,742,1
WNG+COS,15,3,0.0,742,1
COS,15,6,0.0,925,1
WNG,15,6,0.0,925,1
CNT,15,6,0.0,925,1
