query_size,query_idx,tau,payload_size,correct
3,0,1,603,1
3,1,1,530,1
3,2,1,908,1
3,3,1,1007,1
3,4,1,674,1
3,5,1,681,1
3,6,1,586,1
3,7,1,573,1
3,8,1,346,1
3,9,1,410,1
3,10,1,541,1
3,11,1,868,1
3,12,1,795,1
3,13,1,926,1
3,14,1,666,1
3,15,1,899,1
3,16,1,455,1
3,17,1,589,1
3,18,1,566,1
3,19,1,547,1
3,20,1,798,1
3,21,1,868,1
3,22,1,813,1
3,23,1,821,1
3,24,1,535,1
3,25,1,263,1
3,26,1,540,1
3,27,1,644,1
3,28,1,575,1
3,29,1,1035,1
3,30,1,975,1
3,31,1,657,1
3,32,1,602,1
3,33,1,499,1
3,34,1,983,1
3,35,1,698,1
3,36,1,699,1
3,37,1,972,1
3,38,1,1070,1
3,39,1,938,1
3,0,2,603,1
3,1,2,530,1
3,2,2,801,1
3,3,2,1007,1
3,4,2,674,1
3,5,2,681,1
3,6,2,586,1
3,7,2,573,1
3,8,2,346,1
3,9,2,410,1
3,10,2,541,1
3,11,2,794,1
3,12,2,795,1
3,13,2,926,1
3,14,2,666,1
3,15,2,899,1
3,16,2,455,1
3,17,2,589,1
3,18,2,566,1
3,19,2,547,1
3,20,2,798,1
3,21,2,868,1
3,22,2,813,1
3,23,2,821,1
3,24,2,535,1
3,25,2,263,1
3,26,2,540,1
3,27,2,644,1
3,28,2,575,1
3,29,2,1035,1
3,30,2,471,1
3,31,2,657,1
3,32,2,602,1
3,33,2,499,1
3,34,2,983,1
3,35,2,698,1
3,36,2,699,1
3,37,2,863,1
3,38,2,707,1
3,39,2,809,1
3,0,3,603,1
3,1,3,530,1
3,2,3,801,1
3,3,3,1007,1
3,4,3,674,1
3,5,3,681,1
3,6,3,586,1
3,7,3,573,1
3,8,3,346,1
3,9,3,410,1
3,10,3,541,1
3,11,3,794,1
3,12,3,795,1
3,13,3,926,1
3,14,3,666,1
3,15,3,899,1
3,16,3,455,1
3,17,3,589,1
3,18,3,566,1
3,19,3,547,1
3,20,3,798,1
3,21,3,868,1
3,22,3,779,1
3,23,3,821,1
3,24,3,535,1
3,25,3,263,1
3,26,3,540,1
3,27,3,644,1
3,28,3,575,1
3,29,3,1011,1
3,30,3,471,1
3,31,3,657,1
3,32,3,602,1
3,33,3,499,1
3,34,3,967,1
3,35,3,635,1
3,36,3,699,1
3,37,3,863,1
3,38,3,639,1
3,39,3,697,1
3,0,4,603,1
3,1,4,453,1
3,2,4,506,1
3,3,4,944,1
3,4,4,629,1
3,5,4,488,1
3,6,4,524,1
3,7,4,450,1
3,8,4,295,1
3,9,4,322,1
3,10,4,491,1
3,11,4,563,1
3,12,4,738,1
3,13,4,806,1
3,14,4,625,1
3,15,4,857,1
3,16,4,405,1
3,17,4,510,1
3,18,4,483,1
3,19,4,411,1
3,20,4,763,1
3,21,4,835,1
3,22,4,716,1
3,23,4,756,1
3,24,4,431,1
3,25,4,263,1
3,26,4,462,1
3,27,4,555,1
3,28,4,537,1
3,29,4,811,1
3,30,4,454,1
3,31,4,582,1
3,32,4,503,1
3,33,4,474,1
3,34,4,818,1
3,35,4,552,1
3,36,4,667,1
3,37,4,737,1
3,38,4,242,1
3,39,4,558,1
3,0,5,214,1
3,1,5,134,1
3,2,5,259,1
3,3,5,342,1
3,4,5,163,1
3,5,5,180,1
3,6,5,252,1
3,7,5,113,1
3,8,5,105,1
3,9,5,136,1
3,10,5,142,1
3,11,5,231,1
3,12,5,239,1
3,13,5,271,1
3,14,5,256,1
3,15,5,317,1
3,16,5,181,1
3,17,5,195,1
3,18,5,128,1
3,19,5,135,1
3,20,5,280,1
3,21,5,325,1
3,22,5,223,1
3,23,5,285,1
3,24,5,178,1
3,25,5,81,1
3,26,5,191,1
3,27,5,192,1
3,28,5,143,1
3,29,5,452,1
3,30,5,151,1
3,31,5,245,1
3,32,5,153,1
3,33,5,129,1
3,34,5,334,1
3,35,5,251,1
3,36,5,216,1
3,37,5,259,1
3,38,5,83,1
3,39,5,159,1
3,0,6,57,0
3,1,6,2,1
3,2,6,16,1
3,3,6,24,1
3,4,6,0,0
3,5,6,2,1
3,6,6,2,1
3,7,6,0,0
3,8,6,2,0
3,9,6,3,1
3,10,6,2,1
3,11,6,4,1
3,12,6,26,1
3,13,6,0,0
3,14,6,1,1
3,15,6,2,0
3,16,6,0,0
3,17,6,0,0
3,18,6,1,1
3,19,6,2,0
3,20,6,25,1
3,21,6,0,0
3,22,6,0,0
3,23,6,26,0
3,24,6,0,0
3,25,6,13,1
3,26,6,20,1
3,27,6,2,0
3,28,6,2,1
3,29,6,243,0
3,30,6,0,0
3,31,6,1,1
3,32,6,0,0
3,33,6,0,0
3,34,6,0,0
3,35,6,0,0
3,36,6,6,0
3,37,6,3,0
3,38,6,0,0
3,39,6,0,0
3,0,7,0,0
3,1,7,0,0
3,2,7,14,1
3,3,7,23,1
3,4,7,0,0
3,5,7,0,0
3,6,7,0,0
3,7,7,0,0
3,8,7,0,0
3,9,7,0,0
3,10,7,0,0
3,11,7,0,0
3,12,7,26,1
3,13,7,0,0
3,14,7,0,0
3,15,7,0,0
3,16,7,0,0
3,17,7,0,0
3,18,7,0,0
3,19,7,0,0
3,20,7,23,1
3,21,7,0,0
3,22,7,0,0
3,23,7,26,0
3,24,7,0,0
3,25,7,13,1
3,26,7,20,1
