methd,query_idx,size,tau,payload_size,correct
COS,0,3,0.0,603,1
WNG,0,3,0.0,603,1
CNT,0,3,0.0,603,0
WNG+COS,0,3,0.0,603,1
COS,0,6,0.0,1041,1
WNG,0,6,0.0,1041,1
CNT,0,6,0.0,1041,1
WNG+COS,0,6,0.0,1041,1
COS,0,9,0.0,1358,1
WNG,0,9,0.0,1358,1
CNT,0,9,0.0,1358,0
WNG+COS,0,9,0.0,1358,1
COS,1,3,0.0,530,1
WNG,1,3,0.0,530,1
CNT,1,3,0.0,530,1
WNG+COS,1,3,0.0,530,1
COS,1,6,0.0,767,1
WNG,1,6,0.0,767,1
CNT,1,6,0.0,767,1
WNG+COS,1,6,0.0,767,1
COS,1,9,0.0,1029,1
WNG,1,9,0.0,1029,1
CNT,1,9,0.0,1029,1
WNG+COS,1,9,0.0,1029,1
COS,2,3,0.0,908,1
WNG,2,3,0.0,908,1
CNT,2,3,0.0,908,1
WNG+COS,2,3,0.0,908,1
COS,2,6,0.0,1282,1
WNG,2,6,0.0,1282,1
CNT,2,6,0.0,1282,1
WNG+COS,2,6,0.0,1282,1
COS,2,9,0.0,1212,1
WNG,2,9,0.0,1212,1
CNT,2,9,0.0,1212,1
WNG+COS,2,9,0.0,1212,1
COS,3,3,0.0,1007,1
WNG,3,3,0.0,1007,1
CNT,3,3,0.0,1007,1
WNG+COS,3,3,0.0,1007,1
COS,3,6,0.0,1107,1
WNG,3,6,0.0,1107,1
CNT,3,6,0.0,1107,1
WNG+COS,3,6,0.0,1107,1
COS,3,9,0.0,1108,1
WNG,3,9,0.0,1108,1
CNT,3,9,0.0,1108,1
WNG+COS,3,9,0.0,1108,1
COS,4,3,0.0,674,1
WNG,4,3,0.0,674,1
CNT,4,3,0.0,674,1
WNG+COS,4,3,0.0,674,1
COS,4,6,0.0,1100,1
WNG,4,6,0.0,1100,1
CNT,4,6,0.0,1100,1
WNG+COS,4,6,0.0,1100,1
COS,4,9,0.0,1237,1
WNG,4,9,0.0,1237,1
CNT,4,9,0.0,1237,1
WNG+COS,4,9,0.0,1237,1
COS,5,3,0.0,681,1
WNG,5,3,0.0,681,1
CNT,5,3,0.0,681,1
WNG+COS,5,3,0.0,681,1
COS,5,6,0.0,1098,1
WNG,5,6,0.0,1098,1
CNT,5,6,0.0,1098,1
WNG+COS,5,6,0.0,1098,1
COS,5,9,0.0,1211,1
WNG,5,9,0.0,1211,1
CNT,5,9,0.0,1211,1
WNG+COS,5,9,0.0,1211,1
COS,6,3,0.0,586,1
WNG,6,3,0.0,586,1
CNT,6,3,0.0,586,1
WNG+COS,6,3,0.0,586,1
COS,6,6,0.0,1102,1
WNG,6,6,0.0,1102,1
CNT,6,6,0.0,1102,1
WNG+COS,6,6,0.0,1102,1
COS,6,9,0.0,1243,1
WNG,6,9,0.0,1243,1
CNT,6,9,0.0,1243,1
WNG+COS,6,9,0.0,1243,1
COS,7,3,0.0,573,1
WNG,7,3,0.0,573,1
CNT,7,3,0.0,573,1
WNG+COS,7,3,0.0,573,1
COS,7,6,0.0,728,1
WNG,7,6,0.0,728,1
CNT,7,6,0.0,728,1
WNG+COS,7,6,0.0,728,1
COS,7,9,0.0,1252,1
WNG,7,9,0.0,1252,1
CNT,7,9,0.0,1252,1
WNG+COS,7,9,0.0,1252,1
COS,8,3,0.0,346,1
WNG,8,3,0.0,346,1
CNT,8,3,0.0,346,1
WNG+COS,8,3,0.0,346,1
COS,8,6,0.0,1140,1
WNG,8,6,0.0,1140,1
CNT,8,6,0.0,1140,1
WNG+COS,8,6,0.0,1140,1
